BLER,MCS
0.131181, 18
0.207776, 18
0.125206, 18
0.188679, 15
0.118568, 18
0.169811, 12
0.111974, 18
0.152830, 9
0.106332, 18
0.137547, 6
0.107464, 18
0.123792, 6
0.096717, 18
0.111413, 6
0.098810, 18
0.100272, 6
0.100694, 18
0.090245, 6
0.096180, 18
0.081220, 6
0.093705, 18
0.073098, 6
0.096099, 18
0.065788, 6
0.097600, 18
0.059209, 6
0.101174, 18
0.053288, 6
0.102821, 18
0.047960, 6
0.104304, 18
0.043164, 9
0.107207, 18
0.038847, 12
0.108986, 18
0.034963, 15
0.123402, 18
0.105780, 18
0.104293, 18
0.204504, 18
0.186596, 15
0.106363, 18
0.167937, 12
0.114477, 18
0.151143, 9
0.129696, 18
0.136029, 6
0.123393, 18
0.122426, 6
0.122818, 18
0.110183, 6
0.116092, 18
0.099165, 6
0.116983, 18
0.089248, 6
0.105285, 18
0.080324, 6
0.116185, 18
0.072291, 6
0.109829, 18
0.065062, 6
0.125513, 18
0.058556, 6
0.118844, 18
0.052700, 6
0.113626, 18
0.047430, 6
0.112790, 18
0.042687, 9
0.120261, 18
0.038418, 12
0.126985, 18
0.034577, 15
0.133036, 18
0.123054, 18
0.119733, 18
0.107760, 18
0.096984, 18
0.087285, 15
0.078557, 12
0.070701, 9
0.222514, 18
0.063631, 9
0.057268, 9
0.051541, 9
0.046387, 9
0.041748, 9
0.037573, 9
0.033816, 9
0.030434, 9
0.027391, 9
0.024652, 9
0.200262, 15
0.022187, 9
0.019968, 9
0.180236, 12
0.017971, 9
0.162213, 9
0.016174, 12
0.145991, 6
0.014557, 15
0.131392, 6
0.055958, 18
0.118253, 6
0.065747, 18
0.106428, 6
0.071672, 18
0.095785, 6
0.085934, 18
0.086206, 6
0.090674, 18
0.077586, 6
0.081606, 18
0.069827, 6
0.079328, 18
0.062844, 6
0.098062, 18
0.056560, 6
0.101589, 18
0.050904, 6
0.091430, 18
0.045814, 6
0.098954, 18
0.041232, 9
0.105725, 18
0.037109, 12
0.101403, 18
0.033398, 15
0.091262, 18
0.120381, 18
0.105213, 18
0.203425, 18
0.100574, 18
0.184763, 15
0.104802, 18
0.166287, 12
0.094322, 18
0.149658, 9
0.102537, 18
0.134692, 9
0.092283, 18
0.121223, 9
0.100702, 18
0.109101, 9
0.102397, 18
0.098191, 9
0.105490, 18
0.088372, 9
0.079534, 9
0.112588, 18
0.071581, 9
0.113094, 18
0.064423, 9
0.113549, 18
0.057981, 9
0.113959, 18
0.052183, 9
0.102563, 18
0.046964, 9
0.103418, 18
0.042268, 12
0.104187, 18
0.038041, 15
0.104880, 18
0.126172, 18
0.094392, 18
0.211889, 18
0.084953, 18
0.192366, 15
0.094104, 18
0.173130, 12
0.084694, 18
0.155817, 9
0.102891, 18
0.140235, 6
0.131064, 18
0.126212, 6
0.131291, 18
0.113590, 6
0.139590, 18
0.102231, 6
0.147060, 18
0.092008, 6
0.139020, 18
0.082807, 6
0.136883, 18
0.074527, 6
0.137480, 18
0.067074, 6
0.135497, 18
0.060367, 6
0.148614, 18
0.054330, 6
0.140003, 18
0.048897, 6
0.146002, 18
0.044007, 9
0.137652, 18
0.039607, 12
0.129442, 18
0.035646, 15
0.128263, 18
0.124017, 18
0.132103, 18
0.209948, 18
0.132226, 18
0.190634, 15
0.135670, 18
0.171571, 12
0.127366, 18
0.154414, 9
0.119893, 18
0.138972, 6
0.115047, 18
0.125075, 6
0.124970, 18
0.112568, 6
0.124973, 18
0.101311, 6
0.131226, 18
0.091180, 6
0.124770, 18
0.082062, 6
0.117849, 18
0.073856, 6
0.111327, 18
0.066470, 6
0.106077, 18
0.059823, 6
0.120469, 18
0.053841, 6
0.120187, 18
0.048457, 6
0.113724, 18
0.043611, 9
0.114851, 18
0.039250, 12
0.114477, 18
0.035325, 15
0.103030, 18
0.122115, 18
0.117727, 18
0.204985, 18
0.111836, 18
0.187029, 15
0.111179, 18
0.168326, 12
0.105617, 18
0.151494, 9
0.095055, 18
0.136344, 6
0.102216, 18
0.122710, 6
0.097550, 18
0.110439, 6
0.093351, 18
0.099395, 6
0.102766, 18
0.089456, 6
0.105822, 18
0.080510, 6
0.100796, 18
0.072459, 6
0.106101, 18
0.065213, 6
0.115491, 18
0.058692, 6
0.110608, 18
0.052823, 6
0.119547, 18
0.047540, 6
0.119357, 18
0.042786, 9
0.132422, 18
0.038508, 12
0.034657, 15
0.119179, 18
0.118691, 18
0.114404, 18
0.102964, 18
0.203489, 18
0.184821, 15
0.098550, 18
0.166339, 12
0.107445, 18
0.149705, 9
0.115450, 18
0.134734, 9
0.116405, 18
0.121261, 9
0.117265, 18
0.109135, 9
0.110802, 18
0.098221, 9
0.111486, 18
0.088399, 9
0.112102, 18
0.079559, 9
0.113392, 18
0.071603, 9
0.113164, 18
0.064443, 9
0.123276, 18
0.057999, 9
0.122713, 18
0.052199, 9
0.137715, 18
0.123943, 18
0.046979, 9
0.111549, 15
0.100394, 12
0.042281, 9
0.090355, 9
0.081319, 9
0.073187, 9
0.065868, 9
0.059282, 9
0.053353, 9
0.048018, 9
0.043216, 9
0.038053, 9
0.038895, 9
0.035005, 9
0.031505, 9
0.028354, 9
0.025519, 9
0.022967, 9
0.020670, 9
0.034248, 9
0.018603, 9
0.030823, 9
0.016743, 12
0.027741, 12
0.015069, 15
0.024967, 15
0.030228, 18
0.111359, 18
0.068872, 21
0.196056, 18
0.128652, 21
0.178285, 15
0.184537, 21
0.160457, 12
0.201797, 18
0.144411, 9
0.187173, 15
0.129970, 9
0.168456, 12
0.116973, 9
0.151610, 9
0.105276, 9
0.140295, 6
0.094748, 9
0.126266, 6
0.085273, 9
0.117806, 6
0.076746, 9
0.106025, 6
0.069071, 9
0.099423, 6
0.062164, 9
0.093327, 6
0.055948, 9
0.083994, 6
0.050353, 9
0.075595, 6
0.045318, 9
0.076368, 6
0.040786, 12
0.068732, 6
0.036707, 15
0.061858, 6
0.120537, 18
0.055673, 6
