BLER,MCS
0.106598, 25
0.095298, 18
0.108901, 25
0.095768, 18
0.114516, 25
0.091747, 18
0.126534, 25
0.088127, 18
0.130226, 25
0.085197, 18
0.129130, 25
0.081677, 18
0.130368, 25
0.084621, 18
0.130665, 25
0.096159, 18
0.127598, 25
0.097654, 18
0.124748, 25
0.106639, 18
0.124311, 25
0.110975, 18
0.122889, 25
0.099877, 18
0.126946, 25
0.101001, 18
0.126178, 25
0.095901, 18
0.125597, 25
0.092560, 18
0.128571, 25
0.095069, 18
0.130952, 25
0.101352, 18
0.135165, 25
0.113439, 18
0.129684, 25
0.102095, 18
0.125725, 25
0.096885, 18
0.130628, 25
0.087197, 18
0.136012, 25
0.100699, 18
0.134448, 25
0.090629, 18
0.143225, 25
0.091090, 18
0.139912, 25
0.088231, 18
0.141015, 25
0.085290, 18
0.147913, 25
0.087288, 18
0.150598, 25
0.084441, 18
0.138957, 24
0.080997, 18
0.125888, 24
0.078453, 18
0.115841, 24
0.081719, 18
0.104257, 24
0.078309, 18
0.095512, 24
0.081589, 18
0.085961, 24
0.088815, 18
0.079933, 18
0.071940, 17
0.077365, 24
0.064746, 16
0.058271, 15
0.052444, 14
0.047200, 13
0.042480, 12
0.038232, 11
0.034409, 10
0.030968, 9
0.027871, 9
0.025084, 9
0.069628, 23
0.022576, 9
0.020318, 9
0.018286, 9
0.016458, 9
0.014812, 9
0.013331, 9
0.011998, 9
0.010798, 9
0.009718, 9
0.008746, 9
0.062665, 22
0.007872, 9
0.007084, 9
0.006376, 9
0.005738, 9
0.005165, 9
0.004648, 9
0.004183, 9
0.003765, 9
0.003388, 9
0.003050, 9
0.056399, 21
0.002745, 9
0.002470, 9
0.002223, 9
0.002001, 9
0.001801, 9
0.001621, 9
0.001459, 9
0.001313, 9
0.001181, 9
0.001063, 9
0.050759, 20
0.000957, 9
0.000861, 9
0.000775, 9
0.000698, 9
0.000628, 9
0.000565, 9
0.000509, 9
0.000458, 9
0.000412, 9
0.000371, 9
0.045683, 19
0.000334, 9
0.000300, 9
0.000270, 9
0.000243, 9
0.000219, 9
0.000197, 9
0.000177, 9
0.000160, 9
0.000144, 9
0.000129, 9
0.041115, 18
0.000116, 9
0.000105, 9
0.000094, 9
0.000085, 9
0.000076, 9
0.000069, 9
0.000062, 9
0.000056, 9
0.000050, 9
0.000045, 9
0.037003, 17
0.000041, 9
0.000037, 9
0.000033, 9
0.000030, 9
0.000027, 9
0.000024, 9
0.000022, 9
0.000019, 9
0.000017, 9
0.000016, 9
0.033303, 16
0.000014, 9
0.000013, 9
0.000011, 9
0.000010, 9
0.000009, 9
0.000008, 9
0.000008, 9
0.000007, 9
0.000006, 9
0.000005, 9
0.029973, 15
0.000005, 9
0.000004, 9
0.000004, 9
0.000004, 9
0.000003, 9
0.000003, 9
0.000003, 9
0.000002, 9
0.000002, 9
0.000002, 9
0.026975, 14
0.000002, 9
0.000002, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.000001, 9
0.024278, 13
0.000001, 9
0.000001, 9
0.000000, 9
0.000000, 9
0.000000, 9
0.000000, 9
